Number of Records,Address,Business Id,Categories,Cuisines,City_Old,City,Is Open,Latitude,Longitude,name,Neighborhood,Postal Code,Votes,rating,State
1,8023 Broadview Rd,0vYxDHBR6VUfMtY91POA9Q,"Chicken Wings, Desserts, Restaurants, Italian, Pasta Shops, Pizza, Food, Specialty Food",Italian,Broadview Heights,Broadview Heights,1,41.347579,-81.683276,Gionino's Pizzeria,,44147,15,4,OH
1,"1881 Steeles Avenue W, Unit 2B",0Wa923tB6RM7ujUkMtpTwA,"Malaysian, Restaurants, Thai",Thai,Toronto,Toronto,1,43.78656118,-79.46883537,Thai Room,,M3H 4Y4,21,3,ON
1,"7001 N Scottsdale Rd, Ste 184",0WAL6O1YvcJbeDRYeRm34w,"Italian, Restaurants, Pizza",Italian,Paradise Valley,Paradise Valley,0,33.5394631,-111.9241619,The Cove Trattoria,,85253,169,4,AZ
1,445 Avon Belden Rd,0WsCtzG8xazAmFA5HhQE0A,"Italian, Restaurants, Pizza",Italian,Avon Lake,Avon Lake,0,41.4942376,-82.0181241,Stella's Pizza & Italian Restaurant,,44012,16,2,OH
1,"Aria Resort and Casino, 3745 Las Vegas Blvd S",0xdpv5CPpbUUch7JKBG98Q,"Italian, American (New), Restaurants",Italian,Las Vegas,Las Vegas,0,36.10688395,-115.1742268,Sirio Ristorante,The Strip,89109,163,3.5,NV
1,2260 Bovaird Drive E,0XShilFeaLNOWdZK7qe7Nw,"Desserts, Convenience Stores, Food, Music & DVDs, Coffee & Tea, Indian, Books, Mags, Music & Video, Restaurants, Shopping",Indian,Brampton,Brampton,1,43.7515689,-79.73823812,Royal Paan - Brampton,,L6R 3J5,3,2.5,ON
1,"3720 E Sunset Rd, Ste 110",0xtBEP5zCu1153SoqqemLw,"Restaurants, Mexican, Breakfast & Brunch",Mexican,Las Vegas,Las Vegas,1,36.0716571,-115.0941377,Tacos Y Tortas El Panzon,Southeast,89120,143,4.5,NV
1,3334 Yonge Street,0xy5_iqOYWp_XRXpeb-IFQ,"Restaurants, Breakfast & Brunch, Italian, Canadian (New)",Italian,Toronto,Toronto,0,43.7315306,-79.4040711,ViPei Bistro,,M4N 2M4,9,4,ON
1,1 Berea Commons,0XzfaagGzgapFUkYkY8SnQ,"Food, Imported Food, Ethnic Food, Restaurants, Mexican, American (New), Specialty Food",Mexican,Berea,Berea,1,41.3660219,-81.8533589,Boca Loca,,44017,37,4,OH
1,2472 Yonge Street,0XZkaHXjxHAhJc_jPtoJCA,"Restaurants, Italian",Italian,Toronto,Toronto,0,43.7114497,-79.3995315,Vita Sociale,Yonge and Eglinton,M4P 2H5,25,2,ON
1,"Wynn Las Vegas, 3131 Las Vegas Blvd S",0xzmIBsJQc5eUNLucFrZ0Q,"American (New), Restaurants, Italian",Italian,Las Vegas,Las Vegas,0,36.12606526,-115.1721598,Stratta,The Strip,89109,185,3.5,NV
1,20542 Lorain Rd,0y6alZmSLnPzmG5_kP5Quw,"Restaurants, Italian, Pizza",Italian,Fairview Park,Fairview Park,1,41.4483678,-81.8476028,J J's Pizza,,44126,10,4.5,OH
1,360 E Tropicana Ave,0ydy2fdDg6kpGy1dbnHYsQ,"Hotels & Travel, Sports Bars, Cocktail Bars, Food, Restaurants, Nightlife, Lounges, Bars, Desserts, Mexican",Mexican,Las Vegas,Las Vegas,0,36.1022497,-115.1568604,Tequila Restaurante,Eastside,89169,57,3.5,NV
1,2760 Derry Road W,0yKnW_UTYOWD4h8Dc7PJ_Q,"Chicken Wings, Italian, Pizza, Restaurants",Italian,Mississauga,Mississauga,1,43.59316944,-79.76483408,Pizza Pizza,,L5N 2R4,9,2.5,ON
1,1253 Avenue McGill College,0yswu8XOlHixTXZWHw7RPw,"Restaurants, Vietnamese, Sandwiches",Vietnamese,Montréal,Montréal,1,45.5018406,-73.5701894,Soleil de Saigon,Ville-Marie,H3B 2Y5,3,4,QC
1,2737 Las Vegas Blvd N,0yYwrT1vYV0Jvzj74JjLqg,"Mexican, Restaurants",Mexican,North Las Vegas,Las Vegas,1,36.2096344,-115.1078049,Rigos Taco,,89030,31,3,NV
1,598 Gerrard St E,0yZkGtnjZYxdW39aaKKzQg,"Vegetarian, Vietnamese, Restaurants",Vietnamese,Toronto,Toronto,0,43.665616,-79.3518608,Pho Mi Gia Phung,Riverdale,M4M 1Y3,14,3,ON
1,,0zb1wdN4YN_ti87B_JIseg,"Food Trucks, Restaurants, Food, Asian Fusion, Vietnamese",Vietnamese,Las Vegas,Las Vegas,0,36.14690462,-115.2098026,Wa Da Pho,Westside,89118,29,4.5,NV
1,24481 Detroit Rd,0ZN2MfHyjNIkCx7qJvVhDg,"Dance Clubs, Italian, Nightlife, Restaurants, American (New)",Italian,Westlake,Westlake,0,41.470596,-81.891643,SB Eightyone,,44145,32,3,OH
1,"252 Bayly Street W, Unit 1",0ZNIAF_1d83uK1Z7mADTfA,"Italian, Restaurants, Pizza, Chicken Wings",Italian,Ajax,Ajax,1,43.84245,-79.02799,Pizza Hut,,L1S 3V4,11,2.5,ON
1,1043 E Lemon St,0zTLMQOZhiCp9GFtegiFsw,"Indian, Buffets, Restaurants",Indian,Tempe,Tempe,0,33.4167343,-111.9220042,Kohinoor Cuisine of India,,85281,217,4,AZ
1,1112 Rue Sherbrooke O,1_d7l4xOVYhtsvkgleAlFQ,"French, Restaurants, Seafood, International, Italian, Mediterranean",Italian,Montréal,Montréal,0,45.501354,-73.576773,Alba,Ville-Marie,H3A 1G6,7,4.5,QC
1,17239 N Litchfield Rd,1_WfF9pNoNeWe233CeqE1Q,"Restaurants, Mexican, Caterers, Event Planning & Services, Food, Tacos, Breakfast & Brunch, Desserts",Mexican,Surprise,Surprise,1,33.64103854,-112.3583124,Caramba Mexican Food,,85374,95,3.5,AZ
1,61 Lakeshore Road E,1_y5e1u-o93EKOigXgR3LQ,"Latin American, Event Planning & Services, Caterers, Restaurants, Mexican",Mexican,Mississauga,Mississauga,0,43.552332,-79.5843334,Hermanos Mexican Grill,Port Credit,L5G 1C9,90,4,ON
1,17037 N 59th Ave,1-EjdZhVZFuNG6ReBS0rvQ,"Restaurants, Mexican",Mexican,Glendale,Glendale,1,33.6397799,-112.1860326,Popo's Fiesta Del Sol Mexican Food,,85308,337,3.5,AZ
1,250-9737 Macleod Trail SE,1-KRDBS4UCQnm8QhTiLrnQ,"Vietnamese, Restaurants",Vietnamese,Calgary,Calgary,1,50.9661218,-114.0717547,Saigon Bistro,,T2J 0P6,12,4,AB
1,2013 Ontario St,1-lPZQQnW1P0Z7diUHb4vw,"Halal, Indian, Restaurants",Indian,Cleveland,Cleveland,1,41.4988748,-81.6924819,Desi101,Gateway District,44115,17,4.5,OH
1,2000 Airport Road NE,1-mycIcKFGbvqLE60XrwnQ,"Tex-Mex, Food, Steakhouses, American (Traditional), Bars, Beer, Wine & Spirits, Restaurants, Nightlife, Mexican",Mexican,Calgary,Calgary,1,51.130466,-114.010191,Chili's,,T2E 6W5,42,2.5,AB
1,7910 N 59th Ave,10ELp0f3kgGfXPQNQq77ew,"Mexican, Restaurants",Mexican,Glendale,Glendale,1,33.552046,-112.1864894,Tacos Toro Negro,,85301,52,4.5,AZ
1,"2740 S Alma School Rd, Ste 5",10GxV6JOKPoR1w5KC2iZjA,"Salad, Food, Thai, Vegetarian, Food Delivery Services, Soup, Restaurants",Thai,Mesa,Mesa,1,33.36536006,-111.8606038,Soda Bun Thai Food,,85210,184,4.5,AZ
1,3142 Superior Ave,10Jk5ilimXrfAq8JJ1gISg,"Vietnamese, Restaurants",Vietnamese,Cleveland,Cleveland,0,41.510746,-81.668848,Saigon Grille,Goodrich Kirtland,44114,62,3.5,OH
1,15570 Yonge Street,10MSnysiOxQehDA_cFCMtg,"Italian, Event Planning & Services, Caterers, Restaurants",Italian,Aurora,Aurora,1,44.00734454,-79.46958956,Joia Ristorante,,L4G 1P2,24,4,ON
1,523 Mount Pleasant Road,111d13yLgIdqvpZekgVnbQ,"Italian, Restaurants",Italian,Toronto,Toronto,0,43.7021058,-79.3874711,Pallucci,Mount Pleasant and Davisville,M4S 2M4,5,3,ON
1,2218 Murray Hill Rd,112pGcb0ZB666d_IwFt4jA,"Restaurants, Indian",Indian,Cleveland,Cleveland,0,41.50349043,-81.60132815,Chutney Rolls,,44106,65,4,OH
1,"12958 W Indian School Rd, Ste B1",11bhfBbcFypczdz3N_w6iw,"Mexican, Fast Food, Restaurants",Mexican,Litchfield Park,Litchfield Park,1,33.49409684,-112.3377683,Senor Taco,,85340,95,3.5,AZ
1,2219 Fremont St,11y02mqvQyJf0R8LImw3xA,"Food, Restaurants, Mexican, Street Vendors",Mexican,Las Vegas,Las Vegas,0,36.1600746,-115.1186929,Tacos El Guero Nayarit,Downtown,89101,3,4.5,NV
1,4898 W Lone Mountain,12P7GjIoq6oj7qCyJ_c0Ag,"Restaurants, Pizza, Fast Food, Italian",Italian,Las Vegas,Las Vegas,1,36.2473932,-115.2096463,Little Caesars Pizza,Northwest,89130,33,2,NV
1,"15050 N Northsight Blvd, Ste 107",12SAt4bH2YlyihIzzP5cBA,"Restaurants, Thai",Thai,Scottsdale,Scottsdale,1,33.62242207,-111.8970548,La's Thai Cuisine,,85260,108,4.5,AZ
1,2150 Steeles Ave W,13ARujj003ytdue2yb6kRg,"Thai, Restaurants",Thai,Vaughan,Vaughan,1,43.7827884,-79.4913919,Thai Bamboo,,L4K 2Y7,98,3.5,ON
1,3434 Rue St  Denis,13GORSQlSE47HGQgBGmN1A,"Restaurants, Indian",Indian,Montréal,Montréal,0,45.5171131,-73.5678899,Nouveau Mogol,Plateau-Mont-Royal,H2X 3L1,3,4.5,QC
1,120 Bremner Boulevard,147BvO6Fm58E-kYoXTZfPw,"Mexican, Restaurants, Tex-Mex",Mexican,Toronto,Toronto,1,43.6425398,-79.3831794,Z Teca,,M5J 0A8,3,3,ON
1,291 Augusta Ave,14m4FbWr2BIgrbSdPBKG8Q,"Restaurants, Indian",Indian,Toronto,Toronto,0,43.6563207,-79.4025622,Debu's Indian Cuisine,Kensington Market,M5T 2M2,6,3.5,ON
1,13226 N 7th St,14O6gNqpd3bcnIAHPFT58g,"Cocktail Bars, Local Flavor, Comfort Food, Restaurants, Yelp Events, Bars, Nightlife, Italian",Italian,Phoenix,Phoenix,0,33.606332,-112.066095,Salute Ristorante Italiano,,85022,79,4,AZ
1,1112 S Cannon Blvd,14tE9e62U1lIu9OqORxxIg,"Tex-Mex, Mexican, Restaurants, Fast Food",Mexican,Kannapolis,Kannapolis,1,35.479334,-80.612143,Taco Bell,,28083,9,2,NC
1,912 E Johnson St,15LVDu1_v97JEx-g97wnfA,"Pizza, Restaurants, Mexican, American (New)",Mexican,Madison,Madison,1,43.08489164,-89.37590025,Salvatore's Tomato Pies,Tenney - Lapham,53703,184,4.5,WI
1,13610 N Scottsdale Rd,15mZTt8yz8iH11fZ943FxA,"Restaurants, Mexican",Mexican,Scottsdale,Scottsdale,0,33.6100582,-111.9266277,Brennan's,,85260,11,3.5,AZ
1,9356 W Van Buren St,15yP8OOhUcESzYbLcm6s3g,"Breakfast & Brunch, Caribbean, Restaurants, Mexican, Latin American",Mexican,Tolleson,Tolleson,1,33.4505421,-112.2610119,Tamales Guadalajara,,85353,82,4,AZ
1,1947 N Lindsay Rd,15YuEFO59yXd7BTO5NZgYw,"Italian, Restaurants, Pizza",Italian,Mesa,Mesa,1,33.4509853,-111.7702695,Vito's Pizza & Italian Ristorante,,85213,280,4,AZ
1,3305 Yonge Street,16-gsPZnaBJgFi9Le-i27w,"Indian, Restaurants",Indian,Toronto,Toronto,0,43.7303108,-79.4030348,Amaya Bread Bar,,M4N 2L8,39,3.5,ON
1,594 Bloor Street W,16b6StEXMkT0DXn5zcVshw,"Restaurants, Vietnamese",Vietnamese,Toronto,Toronto,1,43.66493992,-79.41296998,Pho 88,Koreatown,M6G 1K4,6,3.5,ON
1,7633 E Indian School Rd,16Md-YQqxnSVKgrnL_yx5g,"Mexican, Nightlife, Bars, Breakfast & Brunch, Restaurants",Mexican,Scottsdale,Scottsdale,0,33.4947329,-111.9155609,Dos Juevos Cantina,,85251,31,2.5,AZ
1,"710 W Elliot Rd, Ste 108",16xoDNtEWbth_s--xqZxrQ,"Halal, Restaurants, Indian, Food Delivery Services, Food",Indian,Tempe,Tempe,1,33.3496649,-111.9475189,Amaravati Indian Cuisine,,85284,23,4,AZ
1,3305 Yonge Street,171c2z28JaSYQtWimiZ62A,"Indian, Restaurants",Indian,Toronto,Toronto,0,43.7302042,-79.4032923,Indian Bread Bar,,M4N 2L8,14,1.5,ON
1,209 Rathburn Rd W,17Q4bVyFLxAJiht0lHdj-Q,"Italian, Restaurants",Italian,Mississauga,Mississauga,0,43.5933496,-79.6483668,Alice Fazooli's,,L5B 4C1,26,3.5,ON
1,53 Clinton St,17YCQTKmq4D5sMMaY1EbqQ,"Restaurants, Italian",Italian,Toronto,Toronto,0,43.6556662,-79.4138811,Olivia's At Fifty-Three,Palmerston,M6G 2Y4,7,4,ON
1,1160 Bloor Street W,18fxStYDHabr3V7QA6_KFg,"Indian, Restaurants",Indian,Toronto,Toronto,1,43.65974806,-79.43685509,Al Aqsa Restaurant,Bloordale Village,M6H 1N1,3,3,ON
1,"5240 W Baseline Rd, Ste 110",18NP-qL3VIJEBJGpns7aTw,"Sandwiches, Italian, Restaurants, Pizza",Italian,Laveen,Laveen,1,33.3775851,-112.1733455,Barro's Pizza,,85339,96,3.5,AZ
1,9 Grape Lane,18ZoetuKrH67EaqaXobiew,"Restaurants, Italian",Italian,Whitby,Whitby,1,54.4868696,-0.611797,Moutreys Restaurant,,YO22 4BA,5,3.5,NYK
1,2501 W Van Buren St,19f_Hyq38r6ycACRw-JG6w,"Breakfast & Brunch, Buffets, Restaurants, Mexican",Mexican,Phoenix,Phoenix,1,33.4509096,-112.113354,Lydia's La Canasta Mexican Food,,85009,36,4,AZ
1,"4141 N 35th Ave, Ste 11",19LQmaLOi22V5RrI3eB5lA,"Vietnamese, Restaurants",Vietnamese,Phoenix,Phoenix,1,33.4963072,-112.133564,Pho Binh Minh,,85017,41,4,AZ
1,4161 Steels Pointe,19npP5v_AhGvN7Cjd3UcqQ,"Restaurants, Mexican",Mexican,Stow,Stow,0,41.182679,-81.4826053,Salsitas,,44224,27,4,OH
1,7000 W Charleston Blvd,19S0gFtg5GTX6CkiApJiAQ,"Event Planning & Services, Caterers, Mexican, Restaurants",Mexican,Las Vegas,Las Vegas,1,36.1594235,-115.2515385,Frijoles & Frescas Grilled Tacos,Westside,89117,450,4,NV
1,1098 Peter Robertson Boulevard,1A47OcRyjJa56OwrTZpfmA,"Restaurants, Indian, Canadian (New)",Indian,Brampton,Brampton,1,43.7580861,-79.737271,Sweet Palace Restaurant,,L6R 3A5,53,4,ON
1,16405 N Scottsdale Rd,1a9YViZDThy3VqBnGOatmQ,"Nightlife, Bars, Italian, Restaurants",Italian,Scottsdale,Scottsdale,1,33.63713595,-111.9247676,Maggiano's Little Italy,,85254,528,3.5,AZ
1,5717 Merrill Ave,1aB0kMQNVRhhUXtb7C4Njg,"Restaurants, American (Traditional), Mexican",Mexican,Las Vegas,Las Vegas,1,36.08529763,-115.0744465,Pollos El Dorado,Southeast,89120,26,5,NV
1,3625 Shaganappi Trl NW,1AJjRxdbBzXRvFDsRC3W5g,"Restaurants, Mexican",Mexican,Calgary,Calgary,1,51.0853523,-114.1537116,Taco Time,,T3A,6,2.5,AB
1,,1aYKH2ea5_dg0bLznqnvQA,"Personal Chefs, Caterers, Food, Restaurants, DJs, Mexican, Event Planning & Services, Home Services, Street Vendors, Food Delivery Services, Tacos, Food Stands",Mexican,Las Vegas,Las Vegas,1,36.26058264,-115.1539821,LV Taco Catering,,89031,6,5,NV
1,4602 S Central,1b8d2CqGcfF3Hz0vixQSUQ,"Mexican, Restaurants, Food, Street Vendors, Food Trucks",Mexican,Phoenix,Phoenix,1,33.4048582,-112.07362,Taqueria Tepehuaje,,85041,8,5,AZ
1,912 Penn Ave,1Bc4KYox4Fux-aLV4OfFnA,"Pizza, American (New), Restaurants, Italian",Italian,Turtle Creek,Turtle Creek,1,40.4059022,-79.8250479,Shelly Pie,,15145,92,4,PA
1,3570 Wolfedale Road,1beiZBv4DIATTYmNzpPeEw,"Restaurants, Ethical Grocery, Food, Indian, Pakistani",Indian,Mississauga,Mississauga,1,43.5737822,-79.6517343,Shaheen Food Centre,,L5C 2V6,10,3.5,ON
1,"100 Marina Drive, Suite 307",1bh9j7I_upv4o84ha5yEjQ,"Vietnamese, Restaurants",Vietnamese,Chestermere,Chestermere,1,51.0467138,-113.8289005,Van Son Vietnamese Cuisine,,T1X 1N2,4,4,AB
1,"10220 W Mcdowell Rd, Ste 100",1BvWaR-5EcODm59zRmNKkQ,"Mexican, Restaurants",Mexican,Avondale,Avondale,1,33.46633213,-112.2799137,Don Taco,,85392,45,3.5,AZ
1,1602 E Roosevelt St,1bxJcRAF-2wDY-QbiTCqPQ,"Restaurants, Mexican, Seafood",Mexican,Phoenix,Phoenix,0,33.4596905,-112.0462108,Mariscos Vuelve a La Vida,,85006,14,3.5,AZ
1,751 N High Point Rd,1bYtt80iwckHNPJyIl4qQg,"Restaurants, Italian, Mediterranean",Italian,Madison,Madison,1,43.076035,-89.518413,Oliva,Wexford,53717,90,3.5,WI
1,1675 Rue Saint-Denis,1C5JzSid3i7Xr47i0J2DZA,"Restaurants, Italian, Pizza",Italian,Montréal,Montréal,1,45.51536,-73.563689,Napoli Pizzeria,Ville-Marie,H2X 3K4,40,3,QC
1,"2225 Matthews Township Pkwy, Ste C",1CE0Jy_ebiUfl6jcRmPeXQ,"Tacos, Mexican, Restaurants",Mexican,Matthews,Matthews,1,35.1288399,-80.702381,Fuzzy's Taco Shop,,28105,39,3.5,NC
1,4588 South Higley RdÊ,1CSMpBHr3mYd9XEOldM2yw,"Food, Grocery, Florists, Italian, Mexican, Restaurants, Flowers & Gifts, American (New), Convenience Stores, Shopping",Mexican,Gilbert,Gilbert,0,33.31580994,-111.7124533,Fresh & Easy,,85297,8,3,AZ
1,"230 East Wt Harris Blvd, Ste C-6",1CVebd7I8pNxskAf6Uvt3g,"Indian, Restaurants",Indian,Charlotte,Charlotte,1,35.303872,-80.749548,Clove Indian Cuisine,University City,28262,36,4,NC
1,2214 Park Rd,1czIVv2iyOHc3WMgtUWXCQ,"Nightlife, Wine Bars, Restaurants, Persian/Iranian, Chinese, Vietnamese, Food, Asian Fusion, Beer, Wine & Spirits, Bars",Vietnamese,Charlotte,Charlotte,1,35.2,-80.852472,Persuasian Restaurant,Sedgefield,28203,101,4,NC
1,"1411 S. Power Rd, Ste 103",1D-7VH5nJdgjdjK5RAO28Q,"Mexican, Restaurants, Fast Food",Mexican,Mesa,Mesa,1,33.3900526,-111.6839265,Chipotle Mexican Grill,,85206,4,3.5,AZ
1,3311 N 16th St,1DdkhCSmKDgFmilXS9SZEA,"Mexican, Restaurants, Seafood",Mexican,Phoenix,Phoenix,1,33.4862211,-112.047383,El Pacifico Restaurante Y Pescaderia,,85016,39,4,AZ
1,2411 Village Green Pl,1DedueD53YsKcpqMWPIe9w,"Breakfast & Brunch, Mexican, Bars, Restaurants, Nightlife, Sports Bars",Mexican,Champaign,Champaign,0,40.083446,-88.297332,Cabo's Cantina and Grill,,61822,24,3.5,IL
1,2450 E Indian School Rd,1Dfx3zM-rW4n-31KeC8sJg,"Tacos, Restaurants, Mexican, Fast Food, Breakfast & Brunch, Tex-Mex",Mexican,Phoenix,Phoenix,1,33.4951941,-112.0285876,Taco Bell,,85016,15,3,AZ
1,370 Atwood St,1dhPgc7E7IzzpxjHM2LphQ,"Tex-Mex, Restaurants, Mexican",Mexican,Pittsburgh,Pittsburgh,1,40.438019,-79.954209,Mad Mex - Oakland,Oakland,15213,258,3.5,PA
1,218 Adelaide Street W,1dI4oRq8wQrMs15nnj9TLA,"Restaurants, Fast Food, Mexican",Mexican,Toronto,Toronto,0,43.6485412,-79.3877675,Smoke's Burritorie,Entertainment District,M5H 1W7,30,2.5,ON
1,9881 W Bell Rd,1dQqNZOjsXRx-UgJD0dpRg,"Mexican, Restaurants",Mexican,Sun City,Sun City,1,33.63759047,-112.2722953,Don Jose's,,85351,52,4,AZ
1,34906 N Valley Parkway,1DswS8btQKkWFyTUZlcgCQ,"Mexican, Fast Food, Tex-Mex, Restaurants",Mexican,Phoenix,Phoenix,1,33.801046,-112.130346,Taco Bell,,85086,13,4,AZ
1,1890 W Germann Rd,1dV3qNEv8nNUAX1k3qdE2w,"Mexican, Restaurants",Mexican,Chandler,Chandler,0,33.2762744,-111.8750213,Rancho de Tia Rosa,,85286,12,2.5,AZ
1,"12024 Symons Valley Road NW, Unit 128",1e0UInGHDhKYS8LAzXjPmg,"Thai, Restaurants",Thai,Calgary,Calgary,1,51.1608233,-114.1244078,Tuk Tuk Thai,,T3P 0A3,11,3.5,AB
1,101 River Pl,1EcTLweQoXJPjC-ETL_8fw,"Desserts, Italian, Food, Salad, Restaurants, Pizza",Italian,Monona,Monona,1,43.04727131,-89.32584286,Falbo Bros. Pizzeria,,53716,19,3.5,WI
1,1115 Centre Street NW,1EdeV-F-dhz1MZnmCktffQ,"Vietnamese, Restaurants",Vietnamese,Calgary,Calgary,0,51.0621688,-114.0625636,Trong Khanh Restaurant,,T2E 2R1,6,4.5,AB
1,"165 E Beaver Creek Road, Unit 28",1eomYFLhoxC-y2PGnnNtlg,"Himalayan/Nepalese, Buffets, Indian, Restaurants",Indian,Richmond Hill,Richmond Hill,0,43.8486496,-79.3776941,Bombay BBQ Hut,,L4B 2N2,13,4.5,ON
1,1280 Kennedy Rd,1Epby_tsFDci4sP0Nbjwsw,"Vietnamese, Restaurants",Vietnamese,Toronto,Toronto,1,43.7577305,-79.2785897,Pho Vietnam,Scarborough,M1P,90,3,ON
1,"12005 N Tatum Blvd, Ste 109",1ePxLE7eU4kRoags_ytAAg,"Restaurants, Mexican",Mexican,Phoenix,Phoenix,0,33.5958474,-111.9804707,Qdoba Mexican Grill,,85028,62,3,AZ
1,9500 W Sahara Ave,1eyfFwXY0NCS7SMXmgl_Dw,"Italian, Restaurants",Italian,Las Vegas,Las Vegas,0,36.1449499,-115.301818,Bertolini's Authentic Trattoria,Westside,89117,5,5,NV
1,3325 S Las Vegas Blvd,1FAvxOUOGGyZoYNlAXACag,"Restaurants, Italian",Italian,Las Vegas,Las Vegas,0,36.124268,-115.169507,Dal Toro Ristorante,The Strip,89109,326,2.5,NV
1,4065 State Rd,1FGe55e-ZPkumoBK7cyjnA,"Mexican, Restaurants",Mexican,Cuyahoga Falls,Cuyahoga Falls,1,41.1822299,-81.507809,El Rancho Mexican Restaurant,,44223,43,4,OH
1,2300 Ardmore Blvd,1fMXFNFwZEtTy9p8sEmiNw,"Fast Food, Restaurants, Tex-Mex, Mexican",Mexican,Forest Hills,Forest Hills,1,40.417218,-79.848131,Taco Bell,,15221,10,2,PA
1,1635 Lawrence Avenue W,1fnaD5AuE6g3XfG8e1zNnQ,"Vegetarian, Vegan, Vietnamese, Restaurants",Vietnamese,Toronto,Toronto,1,43.7047653,-79.4919518,Mama's Tofu,,M6L 3C9,12,4.5,ON
1,50 Kingston Road E,1FnwvtISSL0HxIdPLLow1g,"Restaurants, Vietnamese",Vietnamese,Ajax,Ajax,1,43.8620884,-79.0222956,Phomono Vietnamese Cuisine,,L1Z 1G1,19,3.5,ON
1,437 McNeilly Rd,1FodVSAxoKqEKYQc3QHgvg,"Italian, Restaurants, Pizza",Italian,Pittsburgh,Pittsburgh,1,40.3830717,-80.01561,Bellisario's Pizza Palace,,15226,26,3.5,PA
1,"Scott Towne Center, 2101 Greentree Rd",1GaooxqCWHzulI2Ub3CXEw,"Tex-Mex, Restaurants, Mexican",Mexican,Pittsburgh,Pittsburgh,1,40.39068943,-80.07261917,Mad Mex - South Hills,,15220,118,3,PA
1,6222 N 43rd Ave,1GG8G4aWXKSV4oQr2E8f3w,"Mexican, Restaurants",Mexican,Phoenix,Phoenix,1,33.5266894,-112.1517951,Restaurante Tu Pueblo,,85019,3,3.5,AZ
1,13 St Clair Ave W,1gL9mw6HRbetCb9vOBoPQw,"Restaurants, Gluten-Free, Pizza, Vegan, Italian",Italian,Toronto,Toronto,1,43.6877499,-79.394666,Pizzaiolo,Yonge and St. Clair,M4V 1K6,21,3.5,ON
1,5101 N 16th St,1GoI8TV5ngDEqoTmDK6Iow,"Mexican, Latin American, Cocktail Bars, Restaurants, Nightlife, Bars",Mexican,Phoenix,Phoenix,1,33.5113014,-112.0471247,Ajo Al's Mexican Cafe,,85016,175,3.5,AZ
1,9149 Ravenna Rd,1gXPQJYB1zS91N2tbqQo6g,"Pizza, Italian, Event Planning & Services, Caterers, Restaurants",Italian,Twinsburg,Twinsburg,1,41.3042652,-81.4205658,Bongiorno's Family Ristorante,,44087,34,3,OH
1,55 W Chicago St,1GXTRFzsANkhkRIivqMtuQ,"Restaurants, Sports Bars, Bars, Mexican, American (Traditional), Tacos, Nightlife",Mexican,Chandler,Chandler,1,33.30042636,-111.842268,The Local Chandler,,85225,99,4,AZ
1,9130 Boulevard Leduc,1h3aXVtJLx2o4mArNuhf2w,"Thai, Restaurants",Thai,Brossard,Brossard,1,45.444936,-73.437944,Siam,,J4Y 0L3,31,3.5,QC
1,"150  6th Ave SW, Suncor Energy Centre",1hAebzcRgN5khGO3_uXz5Q,"Restaurants, Thai, Fast Food",Thai,Calgary,Calgary,1,51.047918,-114.0644613,Thai Express,,T2P 3Y6,5,3.5,AB
1,1209 E Carson St,1HfkEkNhI6XJXkgrCTBKpw,"Restaurants, Mexican, American (Traditional), Sports Bars, Tacos, Pubs, Beer Bar, Gastropubs, Nightlife, Bars",Mexican,Pittsburgh,Pittsburgh,1,40.4289466,-79.9858642,The Urban Tap,South Side,15203,248,4,PA
1,1634 Bayview Ave,1HRSElW1HgBiTtSNrhjMeA,"Vietnamese, Restaurants",Vietnamese,Toronto,Toronto,0,43.7066913,-79.3758028,Fine Asian Bowl,Mount Pleasant and Davisville,M4G 3B7,4,2,ON
1,,1hrX1vHaUgllWH6i876oAw,"Arts & Entertainment, Performing Arts, Musicians, Restaurants, Event Planning & Services, Mexican",Mexican,Phoenix,Phoenix,1,33.4499672,-112.0702225,Mariachi Estrellas Del Pacífico,,85001,6,4.5,AZ
1,8110 E. McDowell Rd,1ibcr-sgeUXJNAE51Czjpw,"Argentine, Mexican, Restaurants",Mexican,Scottsdale,Scottsdale,1,33.4662667,-111.9057095,Filiberto's Mexican Food,,85251,11,2,AZ
1,6705 Avenue Papineau,1IHpn-2l9_r7mfFiU8xNvQ,"Sushi Bars, Vietnamese, Restaurants, Asian Fusion, Japanese, Buffets",Vietnamese,Montréal,Montréal,0,45.5451299,-73.6001302,Nami,Rosemont-La Petite-Patrie,H2G 2X4,6,4,QC
1,1439 Rue Saint-Mathieu,1iKMxBsTsPSoEzYUf1AijA,"Restaurants, Indian",Indian,Montréal,Montréal,1,45.4945138,-73.5798829,Paradise Biryani Pointe,Ville-Marie,H3H 2M4,11,3,QC
1,1916 Village Center Cir,1Iz9OlIJi12jLWrQYoUsAA,"Restaurants, Bars, Wine Bars, Italian, Nightlife",Italian,Las Vegas,Las Vegas,0,36.1936092,-115.3040091,Chianti Cafe,Summerlin,89134,7,3.5,NV
1,2101 Texas Star Ln,1J69KdlcuXRMCyOFqtQNgg,"Italian, Restaurants",Italian,North Las Vegas,Las Vegas,0,36.19832048,-115.1930006,Sbarro,,89032,4,4,NV
1,1000-1004 Ridge Ave,1JbrO_ZoY6a8R3llJHVzUQ,"Fast Food, Restaurants, Mexican",Mexican,Pittsburgh,Pittsburgh,1,40.44981535,-80.01872166,Taco Bell,North Side,15202,19,2.5,PA
